name	len	score	pvalue
k141_68066 flag=1 multi=3.0000 len=1200	1200	0.004935318138450384	0.3935720220560465
k141_22689 flag=1 multi=3.0000 len=1327	1327	0.4979868531227112	0.06486517108542941
k141_102090 flag=1 multi=3.0000 len=1779	1779	0.01581522263586521	0.3113339376085807
k141_102091 flag=1 multi=1.0000 len=1096	1096	0.051804739981889725	0.231966160586147
k141_158810 flag=1 multi=3.0000 len=2605	2605	0.002679268829524517	0.43868494599289976
k141_11347 flag=1 multi=5.0000 len=1806	1806	5.253878407529555e-05	0.6965405242087771
k141_45376 flag=1 multi=3.0000 len=1984	1984	0.0016121859662234783	0.47531913286502003
k141_102094 flag=1 multi=2.0000 len=1734	1734	0.004955921787768602	0.39325100083087844
k141_56724 flag=1 multi=1.9228 len=1761	1761	0.001089220168069005	0.5024926353954227
k141_124779 flag=1 multi=2.9813 len=1742	1742	0.04535282775759697	0.24099252209381372
k141_147466 flag=1 multi=2.0000 len=1014	1014	1.9631825054489127e-09	0.979737895611451
k141_102092 flag=1 multi=2.0000 len=1314	1314	0.0004985902342014015	0.5561787144044112
k141_90747 flag=1 multi=3.9853 len=6054	6054	0.05102229118347168	0.23308029307349498
k141_45377 flag=1 multi=3.0000 len=2549	2549	0.21597608923912048	0.14141929148727245
k141_79405 flag=1 multi=5.0000 len=1182	1182	0.006340666674077511	0.3755381826421935
k141_11344 flag=1 multi=2.0000 len=1960	1960	0.03474416211247444	0.25881864189138154
k141_34034 flag=1 multi=2.0000 len=1442	1442	0.43274518847465515	0.08818641891381525
k141_79407 flag=1 multi=2.0000 len=1164	1164	8.34355341794435e-06	0.7895611451015938
k141_170152 flag=1 multi=3.0000 len=1969	1969	0.19940730929374695	0.14704660472845382
k141_170151 flag=1 multi=3.0000 len=1479	1479	0.08457420021295547	0.199920688873782
k141_45375 flag=1 multi=2.1726 len=1016	1016	8.686133128321671e-07	0.8755948334466349
k141_147468 flag=1 multi=3.0000 len=1013	1013	0.00020127621246501803	0.6153976886471788
k141_22693 flag=1 multi=2.0000 len=1368	1368	3.511401155265048e-05	0.7184455019261273
k141_56719 flag=1 multi=3.0000 len=1642	1642	0.004630432929843664	0.3985572928468918
k141_79406 flag=1 multi=3.0000 len=1521	1521	1.4235995138278668e-07	0.9225583503285747
k141_136119 flag=1 multi=3.0000 len=1165	1165	2.5806037228903733e-05	0.7356106956718785
k141_136124 flag=1 multi=2.0000 len=1110	1110	0.00021965516498312354	0.6096193065941536
k141_136127 flag=1 multi=3.0000 len=1373	1373	0.0005275821313261986	0.5525719465216407
k141_113436 flag=1 multi=3.0000 len=1493	1493	0.20589791238307953	0.14502605937004306
k141_79408 flag=1 multi=2.0000 len=1551	1551	0.00019021483603864908	0.618513482891457
k141_22692 flag=1 multi=3.0000 len=1178	1178	0.00042086595203727484	0.5678865473223053
k141_56725 flag=1 multi=1.0000 len=1417	1417	0.006696794647723436	0.37193141475942293
k141_90748 flag=1 multi=3.0000 len=1728	1728	6.842576112831011e-05	0.6810748545962686
