contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
NODE_847_length_1843_cov_15.041387||full,1751,757,4998642,151.4411,86.4884
NODE_1599_length_1536_cov_10.480081||full,1432,481,4998642,96.2261,67.1970
NODE_1170_length_1678_cov_10.825015||full,1442,455,4998642,91.0247,63.1239
NODE_1867_length_1478_cov_7.661982||full,1474,362,4998642,72.4197,49.1314
NODE_1003_length_1759_cov_6.676643||full,1580,349,4998642,69.8190,44.1892
NODE_2242_length_1401_cov_8.503715||full,1256,277,4998642,55.4151,44.1203
NODE_26_length_4438_cov_7.225416||full,3669,748,4998642,149.6406,40.7851
NODE_412_length_2300_cov_6.779955||full,2298,456,4998642,91.2248,39.6975
NODE_2813_length_1315_cov_5.635714||full,1312,242,4998642,48.4131,36.9003
NODE_22_length_4601_cov_5.459745||full,4599,767,4998642,153.4417,33.3641
NODE_823_length_1856_cov_5.521377||full,1829,294,4998642,58.8160,32.1574
NODE_1304_length_1627_cov_5.342239||full,1626,244,4998642,48.8133,30.0205
NODE_3291_length_1261_cov_5.129353||full,1220,177,4998642,35.4096,29.0243
NODE_2397_length_1374_cov_4.510993||full,1253,178,4998642,35.6097,28.4195
NODE_1245_length_1651_cov_5.031328||full,1588,223,4998642,44.6121,28.0933
NODE_576_length_2064_cov_5.321553||full,2013,271,4998642,54.2147,26.9323
NODE_1431_length_1582_cov_4.519319||full,1374,184,4998642,36.8100,26.7904
NODE_182_length_2913_cov_4.265220||full,2750,355,4998642,71.0193,25.8252
NODE_245_length_2672_cov_3.768819||full,2672,330,4998642,66.0179,24.7073
NODE_2880_length_1308_cov_4.529130||full,1259,155,4998642,31.0084,24.6294
NODE_110_length_3362_cov_3.798911||full,3172,386,4998642,77.2210,24.3446
NODE_57_length_3898_cov_4.072860||full,3896,463,4998642,92.6252,23.7744
NODE_858_length_1836_cov_3.687816||full,1834,214,4998642,42.8116,23.3433
NODE_3746_length_1219_cov_4.390893||full,1153,133,4998642,26.6072,23.0765
NODE_2529_length_1353_cov_3.356703||full,1328,153,4998642,30.6083,23.0484
NODE_526_length_2115_cov_3.394660||full,2111,241,4998642,48.2131,22.8390
NODE_406_length_2312_cov_3.614976||full,2015,229,4998642,45.8124,22.7357
NODE_444_length_2240_cov_4.177117||full,2237,254,4998642,50.8138,22.7152
NODE_24_length_4497_cov_3.800090||full,4495,506,4998642,101.2275,22.5200
NODE_122_length_3246_cov_3.753996||full,3200,355,4998642,71.0193,22.1935
NODE_758_length_1898_cov_3.709712||full,1897,208,4998642,41.6113,21.9353
NODE_1693_length_1513_cov_3.688615||full,1472,161,4998642,32.2087,21.8809
NODE_73_length_3780_cov_3.457450||full,3778,410,4998642,82.0223,21.7105
NODE_415_length_2297_cov_3.311775||full,2279,247,4998642,49.4134,21.6821
NODE_4227_length_1180_cov_3.141333||full,963,104,4998642,20.8057,21.6050
NODE_961_length_1781_cov_3.246234||full,1780,191,4998642,38.2104,21.4665
NODE_359_length_2408_cov_3.586910||full,2330,250,4998642,50.0136,21.4651
NODE_191_length_2886_cov_3.518898||full,2884,309,4998642,61.8168,21.4344
NODE_239_length_2691_cov_3.421093||full,2633,282,4998642,56.4153,21.4263
NODE_5159_length_1117_cov_3.936911||full,1001,107,4998642,21.4058,21.3844
NODE_252_length_2656_cov_3.299885||full,2545,272,4998642,54.4148,21.3811
NODE_705_length_1941_cov_3.234889||full,1941,207,4998642,41.4112,21.3350
NODE_4478_length_1163_cov_3.801444||full,1041,111,4998642,22.2060,21.3314
NODE_2332_length_1385_cov_3.454887||full,1382,145,4998642,29.0079,20.9898
NODE_899_length_1815_cov_3.532386||full,1651,173,4998642,34.6094,20.9627
NODE_106_length_3379_cov_3.513237||full,3375,349,4998642,69.8190,20.6871
NODE_774_length_1886_cov_3.287275||full,1606,166,4998642,33.2090,20.6781
NODE_2796_length_1317_cov_3.618859||full,1315,133,4998642,26.6072,20.2336
NODE_214_length_2775_cov_3.170221||full,2750,277,4998642,55.4151,20.1509
NODE_5912_length_1076_cov_3.395690||full,1074,108,4998642,21.6059,20.1172
NODE_4578_length_1156_cov_3.778383||full,1127,113,4998642,22.6061,20.0587
NODE_5620_length_1090_cov_3.798068||full,1088,109,4998642,21.8059,20.0422
NODE_421_length_2281_cov_3.306379||full,2201,219,4998642,43.8119,19.9055
NODE_7102_length_1025_cov_3.312371||full,802,78,4998642,15.6042,19.4567
NODE_1268_length_1642_cov_3.340265||full,1484,144,4998642,28.8078,19.4123
NODE_877_length_1827_cov_3.371896||full,1747,169,4998642,33.8092,19.3527
NODE_1936_length_1460_cov_3.055516||full,1458,139,4998642,27.8076,19.0724
NODE_4168_length_1184_cov_3.765279||full,1182,112,4998642,22.4061,18.9561
NODE_1549_length_1545_cov_3.516107||full,1542,146,4998642,29.2079,18.9416
NODE_1324_length_1619_cov_3.061381||lt2gene,1619,151,4998642,30.2082,18.6586
NODE_3994_length_1198_cov_3.377078||full,1196,111,4998642,22.2060,18.5669
NODE_6922_length_1032_cov_3.287615||full,967,89,4998642,17.8048,18.4124
NODE_1332_length_1618_cov_3.543186||full,1463,134,4998642,26.8073,18.3235
NODE_3333_length_1256_cov_3.442964||full,1216,111,4998642,22.2060,18.2615
NODE_931_length_1799_cov_2.681193||full,1696,154,4998642,30.8084,18.1653
NODE_2352_length_1382_cov_2.902788||lt2gene,1382,124,4998642,24.8067,17.9499
NODE_2613_length_1342_cov_2.698524||lt2gene,1342,119,4998642,23.8065,17.7395
NODE_5520_length_1095_cov_2.993269||full,1001,88,4998642,17.6048,17.5872
NODE_1270_length_1641_cov_2.975410||full,1638,142,4998642,28.4077,17.3429
NODE_1049_length_1732_cov_2.795468||lt2gene,1732,150,4998642,30.0082,17.3257
NODE_133_length_3199_cov_2.799936||full,3196,272,4998642,54.4148,17.0259
NODE_4361_length_1171_cov_2.677419||full,1130,96,4998642,19.2052,16.9958
NODE_6543_length_1047_cov_2.771169||full,990,84,4998642,16.8046,16.9743
NODE_2262_length_1398_cov_2.606106||full,1394,116,4998642,23.2063,16.6473
NODE_1305_length_1627_cov_2.877226||full,1627,133,4998642,26.6072,16.3536
NODE_583_length_2059_cov_2.571856||full,2057,167,4998642,33.4091,16.2416
NODE_1367_length_1604_cov_2.699806||full,1600,129,4998642,25.8070,16.1294
NODE_58_length_3895_cov_2.256771||full,3894,312,4998642,62.4170,16.0290
NODE_3813_length_1213_cov_2.879965||full,1200,96,4998642,19.2052,16.0043
NODE_5589_length_1092_cov_3.345227||full,1031,81,4998642,16.2044,15.7172
NODE_3414_length_1249_cov_1.664154||full,1159,91,4998642,18.2049,15.7075
NODE_2162_length_1415_cov_3.052206||full,1412,109,4998642,21.8059,15.4433
NODE_1056_length_1730_cov_3.011343||full,1728,133,4998642,26.6072,15.3977
NODE_3241_length_1267_cov_2.410066||full,1264,97,4998642,19.4053,15.3523
NODE_2412_length_1372_cov_2.535308||full,1160,89,4998642,17.8048,15.3490
NODE_533_length_2107_cov_2.312378||full,1988,152,4998642,30.4083,15.2959
NODE_3538_length_1236_cov_2.240474||full,1233,94,4998642,18.8051,15.2515
NODE_5848_length_1079_cov_2.680664||full,1077,82,4998642,16.4045,15.2316
NODE_1818_length_1487_cov_2.956704||full,1202,91,4998642,18.2049,15.1455
