seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
k141_9998	1	2	87	1142	0.927	0.927	1	2	87	1142	NA	NA	0	1	2	87	1142	0.927	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_9998||full	0.927	ssDNA
k141_99601	1	4	3	2032	0.88	0.88	1	4	3	2032	NA	NA	0	1	4	3	2032	0.88	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	k141_99601||full	0.88	dsDNAphage
k141_99309	1	3	3	1117	1.0	1.0	1	3	3	1117	NA	NA	0	1	3	3	1117	1.0	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	k141_99309||full	1.0	ssDNA
k141_993	1	2	2	1223	1.0	1.0	1	2	2	1223	NA	NA	0	1	2	2	1223	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	k141_993||full	1.0	ssDNA
k141_99256	1	3	1	1324	0.927	0.927	1	3	1	1324	NA	NA	0	1	3	1	1324	0.927	0.0	0.0	0.0	100.0	0.0	0.0	2	dsDNAphage	linear	k141_99256||full	0.927	dsDNAphage
k141_99230	1	3	1	1940	0.613	0.613	1	3	1	1940	NA	NA	0	1	3	1	1940	0.613	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	k141_99230||full	0.613	dsDNAphage
k141_99208	1	5	2	3451	0.693	0.693	1	5	2	3451	NA	NA	0	1	5	2	3451	0.693	0.0	0.0	0.0	40.0	0.0	60.0	0	dsDNAphage	linear	k141_99208||full	0.693	dsDNAphage
k141_98948	1	4	1	3661	0.68	0.68	1	4	1	3661	NA	NA	0	1	4	1	3661	0.68	0.0	0.0	0.0	75.0	0.0	25.0	0	ssDNA	linear	k141_98948||full	0.68	ssDNA
k141_98819	1	3	72	1381	0.98	0.98	1	3	72	1381	NA	NA	0	1	3	72	1381	0.98	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_98819||full	0.98	ssDNA
k141_98783	1	2	1	1163	0.7	0.7	1	2	1	1163	NA	NA	0	1	2	1	1163	0.7	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_98783||full	0.7	ssDNA
k141_98635	1	2	2	1151	0.96	0.96	1	2	2	1151	NA	NA	0	1	2	2	1151	0.96	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	k141_98635||full	0.96	ssDNA
k141_98527	1	3	2	2371	0.993	0.993	1	3	2	2371	NA	NA	0	1	3	2	2371	0.993	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	k141_98527||full	0.993	ssDNA
k141_98484	1	3	2	1961	0.58	0.58	1	3	2	1961	NA	NA	0	1	3	2	1961	0.58	0.0	0.0	0.0	66.7	33.3	0.0	0	dsDNAphage	linear	k141_98484||full	0.58	dsDNAphage
k141_98002	1	4	3	1686	0.96	0.96	1	4	3	1686	NA	NA	0	1	4	3	1686	0.96	0.0	0.0	0.0	50.0	0.0	50.0	0	dsDNAphage	linear	k141_98002||full	0.96	dsDNAphage
k141_97989	1	3	79	1789	0.807	0.807	1	3	79	1789	NA	NA	0	1	3	79	1789	0.807	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_97989||full	0.807	ssDNA
k141_97970	1	3	3	1022	0.98	0.98	1	3	3	1022	NA	NA	0	1	3	3	1022	0.98	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	k141_97970||full	0.98	ssDNA
k141_97852	1	5	3	2488	0.933	0.933	1	5	3	2488	NA	NA	0	1	5	3	2488	0.933	0.0	0.0	0.0	20.0	0.0	80.0	1	dsDNAphage	linear	k141_97852||full	0.933	dsDNAphage
