sequence,found_in_MEGAHIT,found_in_SPAdes,status,MEGAHIT_vs2_score,MEGAHIT_dvf_score,MEGAHIT_identified_by,SPAdes_vs2_score,SPAdes_dvf_score,SPAdes_identified_by
k141_114542,Yes,No,Consensus,0.987,0.9999982714653016,Both,N/A,N/A,N/A
NODE_1431_length_1582_cov_4.519319,No,Yes,Consensus,N/A,N/A,N/A,0.98,0.0248999409377574,Both
NODE_4592_length_1156_cov_1.211626,No,Yes,Consensus,N/A,N/A,N/A,,2.5244702555937693e-05,Both
k141_49947,Yes,No,Consensus,0.993,0.6086467504501343,Both,N/A,N/A,N/A
k141_104229,Yes,No,Consensus,0.847,0.9902509450912476,Both,N/A,N/A,N/A
k141_40698,Yes,No,Consensus,0.973,0.2552444040775299,Both,N/A,N/A,N/A
NODE_6113_length_1067_cov_1.217391,No,Yes,Consensus,N/A,N/A,N/A,0.98,0.4353178143501282,Both
k141_179017,Yes,No,Consensus,0.72,0.0083666257560253,Both,N/A,N/A,N/A
k141_120791,Yes,No,Consensus,0.9,0.4022464752197265,Both,N/A,N/A,N/A
NODE_6081_length_1068_cov_0.989141,No,Yes,Consensus,N/A,N/A,N/A,0.86,7.282982323886245e-07,Both
NODE_823_length_1856_cov_5.521377,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.5925092697143555,Both
NODE_1245_length_1651_cov_5.031328,No,Yes,Consensus,N/A,N/A,N/A,0.933,0.0668293610215187,Both
NODE_7176_length_1022_cov_1.561531,No,Yes,Consensus,N/A,N/A,N/A,,1.0,Both
k141_83025,Yes,No,Consensus,0.533,0.0006639363709837,Both,N/A,N/A,N/A
k141_179841,Yes,No,Consensus,0.993,0.4716567695140838,Both,N/A,N/A,N/A
k141_148737,Yes,No,Consensus,0.987,0.0074741230346262,Both,N/A,N/A,N/A
k141_129893,Yes,No,Consensus,0.98,0.440915584564209,Both,N/A,N/A,N/A
k141_167887,Yes,No,Consensus,0.96,2.9607905162265524e-05,Both,N/A,N/A,N/A
k141_94346,Yes,No,Consensus,,0.3824228942394256,Both,N/A,N/A,N/A
k141_161884,Yes,No,Consensus,0.987,0.590400218963623,Both,N/A,N/A,N/A
k141_157403,Yes,No,Consensus,0.927,0.2471293807029724,Both,N/A,N/A,N/A
k141_36368,Yes,No,Consensus,0.747,0.0107491053640842,Both,N/A,N/A,N/A
k141_108021,Yes,No,Consensus,0.92,0.4081245064735412,Both,N/A,N/A,N/A
k141_32863,Yes,No,Consensus,0.9,0.4708847999572754,Both,N/A,N/A,N/A
k141_62562,Yes,No,Consensus,0.853,0.1122385263442993,Both,N/A,N/A,N/A
k141_142786,Yes,No,Consensus,,0.1629268676042556,Both,N/A,N/A,N/A
k141_90186,Yes,No,Consensus,0.847,2.05750922077641e-07,Both,N/A,N/A,N/A
