seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
k141_147476||full	0.813	0.827	0.827	ssDNA	2547	0	100.000	0.000
k141_102102||full	0.907	0.053	0.907	dsDNAphage	3285	2	42.900	28.600
k141_136134||full	0.667	0.500	0.667	dsDNAphage	1416	0	50.000	0.000
k141_11370||full	0.520	0.780	0.780	ssDNA	1531	0	33.300	0.000
k141_102131||full	0.807	0.813	0.813	ssDNA	1210	0	33.300	0.000
k141_46||full	0.713	0.507	0.713	dsDNAphage	1172	0	50.000	0.000
k141_79441||full	0.680	0.587	0.680	dsDNAphage	1008	0	66.700	33.300
k141_68114||full	0.647	0.973	0.973	ssDNA	952	0	33.300	0.000
k141_11402||full	0.993	0.393	0.993	dsDNAphage	2374	2	66.700	0.000
k141_102163||full	0.333	0.827	0.827	ssDNA	1131	0	50.000	0.000
k141_90829||full	0.567	0.960	0.960	ssDNA	1179	0	100.000	0.000
k141_136205||full	0.460	0.967	0.967	ssDNA	774	0	50.000	0.000
k141_147569||full	0.993	0.773	0.993	dsDNAphage	3031	1	50.000	0.000
k141_45488||full	0.627	0.787	0.787	ssDNA	1180	0	33.300	0.000
k141_102220||full	0.993	0.267	0.993	dsDNAphage	1612	1	100.000	0.000
k141_113574||full	0.953	1.000	1.000	ssDNA	1167	0	100.000	0.000
k141_113575||full	0.620	0.340	0.620	dsDNAphage	1495	0	50.000	0.000
k141_139||full	0.733	0.653	0.733	dsDNAphage	1747	0	20.000	0.000
k141_34193||full	0.507	0.113	0.507	dsDNAphage	1852	0	40.000	0.000
k141_113583||full	0.480	0.827	0.827	ssDNA	930	0	50.000	0.000
k141_170297||full	0.527	0.480	0.527	dsDNAphage	1121	0	33.300	0.000
k141_90894||full	0.220	0.940	0.940	ssDNA	1320	0	33.300	0.000
k141_158981||full	0.793	0.200	0.793	dsDNAphage	1801	0	40.000	20.000
k141_34208||full	0.793	0.080	0.793	dsDNAphage	3662	0	66.700	16.700
k141_124964||full	0.507	0.360	0.507	dsDNAphage	4547	0	14.300	0.000
k141_79604||full	0.680	0.153	0.680	dsDNAphage	1013	0	33.300	0.000
k141_68254||full	0.533	0.293	0.533	dsDNAphage	858	0	50.000	0.000
k141_124976||full	0.687	0.780	0.780	ssDNA	2397	0	33.300	0.000
k141_201||full	0.787	0.580	0.787	dsDNAphage	1572	0	25.000	0.000
k141_159043||full	0.653	0.640	0.653	dsDNAphage	1839	0	66.700	0.000
k141_147685||full	0.800	0.453	0.800	dsDNAphage	2087	0	20.000	0.000
k141_68277||full	0.673	0.980	0.980	ssDNA	1909	0	66.700	0.000
k141_170378||full	0.567	0.980	0.980	ssDNA	1139	0	50.000	0.000
k141_170401||full	0.993	0.947	0.993	dsDNAphage	1040	1	50.000	0.000
k141_102349||full	0.647	0.993	0.993	ssDNA	1032	0	50.000	0.000
k141_262||full	0.773	0.500	0.773	dsDNAphage	1858	0	20.000	0.000
k141_79689||full	0.433	0.993	0.993	ssDNA	990	0	50.000	0.000
k141_22933||full	0.960	0.653	0.960	dsDNAphage	2268	1	66.700	0.000
k141_170424||full	0.967	0.320	0.967	dsDNAphage	1374	2	66.700	0.000
k141_34313||full	0.760	0.267	0.760	dsDNAphage	2078	0	42.900	0.000
k141_68354||full	0.940	0.907	0.940	dsDNAphage	1809	0	75.000	0.000
k141_91038||full	0.987	0.893	0.987	dsDNAphage	2306	1	40.000	0.000
k141_136422||full	0.907	0.980	0.980	ssDNA	1318	0	25.000	0.000
k141_307||full	0.453	0.700	0.700	ssDNA	1344	0	50.000	0.000
k141_147780||full	0.907	0.293	0.907	dsDNAphage	1713	1	33.300	0.000
k141_68372||full	1.000	0.973	1.000	dsDNAphage	1229	0	100.000	0.000
k141_56997||full	0.927	0.347	0.927	dsDNAphage	3013	0	20.000	0.000
k141_68376||full	0.720	0.060	0.720	dsDNAphage	1756	0	25.000	0.000
k141_102416||full	0.420	0.520	0.520	ssDNA	1254	0	50.000	0.000
k141_91080||full	0.667	0.307	0.667	dsDNAphage	1577	0	66.700	0.000
k141_353||full	0.573	0.533	0.573	dsDNAphage	1147	0	33.300	0.000
k141_91132||full	0.673	0.513	0.673	dsDNAphage	1104	0	25.000	0.000
k141_113789||full	0.580	0.093	0.580	dsDNAphage	1279	0	33.300	0.000
k141_147864||full	0.467	0.827	0.827	ssDNA	1987	0	33.300	0.000
k141_45801||full	0.393	0.827	0.827	ssDNA	1537	0	50.000	0.000
k141_102515||full	0.947	0.100	0.947	dsDNAphage	1969	2	50.000	25.000
k141_79836||full	0.947	0.420	0.947	dsDNAphage	1868	0	60.000	0.000
k141_23076||full	0.567	0.140	0.567	dsDNAphage	1384	0	33.300	0.000
k141_438||full	1.000	0.293	1.000	dsDNAphage	980	2	100.000	0.000
k141_147910||full	0.867	0.213	0.867	dsDNAphage	1300	0	33.300	0.000
k141_170593||full	0.707	0.640	0.707	dsDNAphage	1371	0	33.300	0.000
k141_45839||full	0.927	0.813	0.927	dsDNAphage	1042	1	33.300	0.000
k141_159273||full	0.413	0.687	0.687	ssDNA	1380	0	33.300	0.000
k141_456||full	0.993	0.360	0.993	dsDNAphage	1929	0	40.000	0.000
k141_68498||full	0.533	0.687	0.687	ssDNA	1764	0	66.700	0.000
k141_57140||full	0.333	0.833	0.833	ssDNA	1232	0	50.000	0.000
k141_45855||full	0.620	0.960	0.960	ssDNA	933	0	50.000	0.000
k141_102574||full	0.740	0.840	0.840	ssDNA	1202	0	100.000	0.000
k141_102576||full	0.707	0.953	0.953	ssDNA	945	0	50.000	0.000
k141_68517||full	0.433	0.673	0.673	ssDNA	1780	0	33.300	0.000
k141_57179||full	0.360	0.853	0.853	ssDNA	1209	0	33.300	0.000
k141_23186||full	0.827	0.987	0.987	ssDNA	951	0	100.000	0.000
k141_23187||full	0.807	0.133	0.807	dsDNAphage	1403	0	33.300	0.000
k141_91304||full	0.547	0.327	0.547	dsDNAphage	1460	0	33.300	0.000
k141_34574||full	0.773	1.000	1.000	ssDNA	1015	0	50.000	0.000
k141_170694||full	0.753	0.087	0.753	dsDNAphage	4669	1	33.300	0.000
k141_57237||full	0.620	0.933	0.933	ssDNA	1677	0	50.000	0.000
k141_68608||full	0.713	0.800	0.800	ssDNA	1504	0	33.300	0.000
k141_57252||full	0.700	0.993	0.993	ssDNA	1741	0	33.300	0.000
k141_148074||full	0.807	0.340	0.807	dsDNAphage	1552	0	50.000	0.000
k141_91404||full	0.593	0.340	0.593	dsDNAphage	3045	0	66.700	0.000
k141_68649||full	0.947	0.820	0.947	dsDNAphage	3319	0	20.000	0.000
k141_170750||full	0.567	0.007	0.567	dsDNAphage	6484	0	30.000	10.000
k141_682||full	0.933	0.967	0.967	ssDNA	1895	0	75.000	0.000
k141_80121||full	0.687	0.073	0.687	dsDNAphage	1463	1	66.700	33.300
k141_80132||full	0.953	0.533	0.953	dsDNAphage	1240	0	25.000	0.000
k141_148180||full	0.300	0.567	0.567	ssDNA	1285	0	50.000	0.000
k141_125509||full	0.693	0.987	0.987	ssDNA	896	0	50.000	0.000
k141_170864||full	0.947	0.267	0.947	dsDNAphage	4022	2	50.000	0.000
k141_23384||full	0.727	0.767	0.767	ssDNA	1645	0	66.700	0.000
k141_46107||full	0.500	0.867	0.867	ssDNA	1347	0	50.000	0.000
k141_23394||full	0.607	0.000	0.607	dsDNAphage	5735	1	33.300	16.700
k141_12081||full	0.767	0.993	0.993	ssDNA	1282	0	50.000	0.000
