sequence,found_in_MEGAHIT,found_in_SPAdes,status,MEGAHIT_vs2_score,MEGAHIT_dvf_score,MEGAHIT_identified_by,SPAdes_vs2_score,SPAdes_dvf_score,SPAdes_identified_by
k141_36965,Yes,No,Consensus,,0.2204028666019439,Both,N/A,N/A,N/A
k141_75466,Yes,No,Consensus,0.86,9.303975093644112e-05,Both,N/A,N/A,N/A
k141_168916,Yes,No,Consensus,0.78,0.0171886906027793,Both,N/A,N/A,N/A
k141_100642,Yes,No,Consensus,0.68,0.5600832104682922,Both,N/A,N/A,N/A
k141_138610,Yes,No,Consensus,0.953,0.0011917285155504,Both,N/A,N/A,N/A
k141_73816,Yes,No,Consensus,0.533,0.4643035531044006,Both,N/A,N/A,N/A
k141_175857,Yes,No,Consensus,0.98,0.752231240272522,Both,N/A,N/A,N/A
k141_132122,Yes,No,Consensus,0.94,0.0223399717360734,Both,N/A,N/A,N/A
NODE_1872_length_1477_cov_2.193390,No,Yes,Consensus,N/A,N/A,N/A,0.673,6.526698257403041e-07,Both
NODE_3919_length_1204_cov_2.177546,No,Yes,Consensus,N/A,N/A,N/A,0.9,0.0415225178003311,Both
k141_173127,Yes,No,Consensus,0.673,1.994968260987661e-05,Both,N/A,N/A,N/A
k141_50891,Yes,No,Consensus,,0.0093646189197897,Both,N/A,N/A,N/A
k141_51717,Yes,No,Consensus,,0.0005445453571155,Both,N/A,N/A,N/A
k141_175141,Yes,No,Consensus,0.5,0.0009478409774601,Both,N/A,N/A,N/A
k141_48284,Yes,No,Consensus,0.64,0.0003927137877326,Both,N/A,N/A,N/A
k141_1473,Yes,No,Consensus,0.52,0.0039628529921174,Both,N/A,N/A,N/A
k141_162636,Yes,No,Consensus,0.833,0.0897708237171173,Both,N/A,N/A,N/A
NODE_961_length_1781_cov_3.246234,No,Yes,Consensus,N/A,N/A,N/A,0.987,0.9999969005584716,Both
k141_178430,Yes,No,Consensus,0.72,0.0083666257560253,Both,N/A,N/A,N/A
k141_26831,Yes,No,Consensus,0.5,0.121287889778614,Both,N/A,N/A,N/A
k141_130593,Yes,No,Consensus,0.833,0.0400029830634593,Both,N/A,N/A,N/A
k141_37485,Yes,No,Consensus,0.653,0.0079443184658885,Both,N/A,N/A,N/A
k141_163586,Yes,No,Consensus,0.813,0.0113192535936832,Both,N/A,N/A,N/A
NODE_6848_length_1035_cov_1.688776,No,Yes,Consensus,N/A,N/A,N/A,0.593,0.0768714249134063,Both
NODE_576_length_2064_cov_5.321553,No,Yes,Consensus,N/A,N/A,N/A,0.793,0.1238505020737648,Both
NODE_1263_length_1645_cov_2.336478,No,Yes,Consensus,N/A,N/A,N/A,0.527,0.0082700373604893,Both
k141_156344,Yes,No,Consensus,1.0,0.0906311273574829,Both,N/A,N/A,N/A
k141_83960,Yes,No,Consensus,0.973,0.6695876717567444,Both,N/A,N/A,N/A
NODE_1258_length_1647_cov_1.901382,No,Yes,Consensus,N/A,N/A,N/A,0.56,0.2331210672855377,Both
k141_96706,Yes,No,Consensus,0.713,0.0535398833453655,Both,N/A,N/A,N/A
NODE_5848_length_1079_cov_2.680664,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.9998282194137572,Both
k141_126536,Yes,No,Consensus,0.58,0.0002218405716121,Both,N/A,N/A,N/A
k141_145617,Yes,No,Consensus,0.613,0.6749092936515808,Both,N/A,N/A,N/A
k141_74882,Yes,No,Consensus,0.5,0.0058646188117563,Both,N/A,N/A,N/A
k141_78715,Yes,No,Consensus,0.94,0.0020141270942986,Both,N/A,N/A,N/A
k141_20266,Yes,No,Consensus,0.993,0.394025444984436,Both,N/A,N/A,N/A
k141_149883,Yes,No,Consensus,0.787,0.7420816421508789,Both,N/A,N/A,N/A
k141_139484,Yes,No,Consensus,0.987,0.0084764678031206,Both,N/A,N/A,N/A
k141_10910,Yes,No,Consensus,,0.0004145834827795,Both,N/A,N/A,N/A
k141_147318,Yes,No,Consensus,0.893,0.0007574587943963,Both,N/A,N/A,N/A
k141_143316,Yes,No,Consensus,0.973,0.0580293647944927,Both,N/A,N/A,N/A
k141_108511,Yes,No,Consensus,0.94,0.2912048101425171,Both,N/A,N/A,N/A
k141_152745,Yes,No,Consensus,0.927,8.541476563550532e-05,Both,N/A,N/A,N/A
k141_37205,Yes,No,Consensus,0.667,0.5280004739761353,Both,N/A,N/A,N/A
k141_115777,Yes,No,Consensus,0.9,0.4843989014625549,Both,N/A,N/A,N/A
k141_144275,Yes,No,Consensus,0.96,0.3015065491199493,Both,N/A,N/A,N/A
k141_18723,Yes,No,Consensus,0.953,0.1400663554668426,Both,N/A,N/A,N/A
k141_35967,Yes,No,Consensus,0.813,0.117233321070671,Both,N/A,N/A,N/A
k141_60297,Yes,No,Consensus,0.887,0.8834431767463684,Both,N/A,N/A,N/A
k141_11234,Yes,No,Consensus,0.987,0.0017991007771342,Both,N/A,N/A,N/A
NODE_2394_length_1375_cov_1.819697,No,Yes,Consensus,N/A,N/A,N/A,0.64,0.0226891990751028,Both
k141_14206,Yes,No,Consensus,0.993,0.0579060539603233,Both,N/A,N/A,N/A
k141_58964,Yes,No,Consensus,0.66,0.0066499854438006,Both,N/A,N/A,N/A
k141_177378,Yes,No,Consensus,0.8,0.0046811792999506,Both,N/A,N/A,N/A
k141_51493,Yes,No,Consensus,0.82,0.0541026629507541,Both,N/A,N/A,N/A
k141_18911,Yes,No,Consensus,0.893,0.0058547179214656,Both,N/A,N/A,N/A
k141_19522,Yes,No,Consensus,0.987,0.0977020487189292,Both,N/A,N/A,N/A
k141_69401,Yes,No,Consensus,0.8,0.3891304731369018,Both,N/A,N/A,N/A
k141_175078,Yes,No,Consensus,0.993,0.3352987766265869,Both,N/A,N/A,N/A
k141_29501,Yes,No,Consensus,0.647,0.0211239699274301,Both,N/A,N/A,N/A
k141_142104,Yes,No,Consensus,0.773,4.674895535572432e-06,Both,N/A,N/A,N/A
k141_71302,Yes,No,Consensus,0.793,0.4503709077835083,Both,N/A,N/A,N/A
k141_126187,Yes,No,Consensus,,0.9128478765487672,Both,N/A,N/A,N/A
NODE_4032_length_1196_cov_1.359334,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.0682853311300277,Both
k141_62213,Yes,No,Consensus,0.76,0.0002519986301194,Both,N/A,N/A,N/A
k141_11402,Yes,No,Consensus,0.993,0.0901969298720359,Both,N/A,N/A,N/A
k141_151961,Yes,No,Consensus,1.0,0.2907477021217346,Both,N/A,N/A,N/A
k141_126789,Yes,No,Consensus,0.96,0.0009618311887606,Both,N/A,N/A,N/A
k141_71359,Yes,No,Consensus,1.0,0.0002724098740145,Both,N/A,N/A,N/A
k141_38141,Yes,No,Consensus,0.847,0.0146437743678689,Both,N/A,N/A,N/A
k141_93518,Yes,No,Consensus,0.753,0.0097530903294682,Both,N/A,N/A,N/A
k141_20572,Yes,No,Consensus,0.82,0.065341331064701,Both,N/A,N/A,N/A
k141_13559,Yes,No,Consensus,0.613,5.442842302727513e-05,Both,N/A,N/A,N/A
k141_127531,Yes,No,Consensus,0.773,0.2442697882652282,Both,N/A,N/A,N/A
k141_103595,Yes,No,Consensus,0.587,1.232712293131044e-06,Both,N/A,N/A,N/A
k141_14127,Yes,No,Consensus,1.0,0.971992254257202,Both,N/A,N/A,N/A
k141_15800,Yes,No,Consensus,0.973,0.000261142355157,Both,N/A,N/A,N/A
k141_134632,Yes,No,Consensus,0.533,0.0338755995035171,Both,N/A,N/A,N/A
k141_147235,Yes,No,Consensus,1.0,0.606694757938385,Both,N/A,N/A,N/A
k141_30492,Yes,No,Consensus,0.98,0.253189355134964,Both,N/A,N/A,N/A
k141_112479,Yes,No,Consensus,0.993,0.2625545263290405,Both,N/A,N/A,N/A
k141_6940,Yes,No,Consensus,,0.0079825604334473,Both,N/A,N/A,N/A
k141_993,Yes,No,Consensus,1.0,0.9997869729995728,Both,N/A,N/A,N/A
k141_134554,Yes,No,Consensus,0.52,0.0074580525979399,Both,N/A,N/A,N/A
k141_113042,Yes,No,Consensus,1.0,0.1346656829118728,Both,N/A,N/A,N/A
k141_99309,Yes,No,Consensus,1.0,0.0682598203420639,Both,N/A,N/A,N/A
k141_139416,Yes,No,Consensus,0.973,0.3241784870624542,Both,N/A,N/A,N/A
NODE_7232_length_1020_cov_1.147150,No,Yes,Consensus,N/A,N/A,N/A,0.993,0.0003083314513787,Both
k141_92963,Yes,No,Consensus,,0.3824228942394256,Both,N/A,N/A,N/A
